@relation activation1-weka.filters.unsupervised.attribute.NumericToNominal-Rlast
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute 8 numeric
@attribute 9 numeric
@attribute 10 numeric
@attribute 11 {1,-1}

@data
432.12,328.41,173.34,691.14,741.53,150.6,6.2991,-0.0031632,0.045117,0.78549,-1
242.94,193.59,107.77,378.27,383,105.85,7.6009,-0.013101,0.051135,0.77719,1
118.94,104.75,45.061,192.93,866.51,154.23,8.172,-0.01058,0.078854,0.84392,1
130.17,145.35,35.812,224.64,716.2,118.17,5.6133,-0.0094917,0.055245,0.65739,1
56.408,54.371,12.056,100.82,745.25,248.44,7.6105,-0.054994,0.070455,0.71284,1
269.82,151.9,159.43,380.43,463.06,100.78,4.4405,0.013665,0.080795,0.75438,-1
100.85,79.328,48.792,152.99,555.41,112.55,5.7349,-0.013282,0.088422,1.0186,-1
210.88,127.24,116.24,305.6,538.63,95.614,6.3821,-0.00066227,0.069822,0.99975,-1
252.25,173.85,114.6,390.01,545.59,86.562,6.1176,-0.0063428,0.053835,0.97533,-1
205.08,157.39,84.038,326.2,958.28,171.02,7.1532,-0.014493,0.039813,1.0315,1
306.85,277.56,85.217,528.67,486.21,121.94,6.7649,-0.003229,0.055737,0.98444,-1
5.1874,6.1907,1.1124,9.2681,1573.1,189.38,7.2462,-0.015033,0.082423,0.47274,1
119.7,126.95,30.869,208.69,926.03,142.11,8.1336,-0.012027,0.065707,0.81109,1
349.64,301.12,134.78,564.76,1070,122.92,7.0634,0.0069706,0.032951,0.95636,-1
36.493,79.405,3.0225,70.039,426.63,81.688,5.4822,-0.024605,0.024809,0.65265,1
226.7,260.41,56.325,397.3,970.52,150.14,6.6045,-0.014342,0.044637,1.0376,-1
201.25,344.79,73.936,328.76,576.3,122.73,6.616,-0.03361,0.046157,0.86889,1
169.34,234.45,12.413,326.58,429.81,119.6,7.2929,-0.014298,0.037547,0.63122,1
270.92,263.91,81.562,460.73,2018.2,195.94,5.2707,0.059599,0.070357,0.8336,-1
70.013,53.701,31.682,108.38,617.92,93.022,7.1989,-0.014993,0.054241,0.90781,-1
432.82,362.29,175.15,690.91,553.68,156.54,7.3781,-0.0089731,0.033068,0.96025,-1
119.31,133.58,32.546,206.2,629.13,178.11,7.8557,-0.021739,0.043002,0.81313,1
133.93,190.35,27.723,240.29,763.91,130.77,7.056,-0.019259,0.049089,0.84026,1
137.66,214.89,16.235,259.35,333.88,84.315,6.4256,-0.036651,0.025681,0.73147,1
89.818,87.974,20.694,159.04,656.94,185.77,5.6206,-0.0012288,0.051462,0.86247,1
227.28,193.46,89.789,364.89,668.6,100.41,5.7259,-0.0027701,0.057078,1.033,-1
130.02,117.31,49.267,210.87,1379.4,138.49,6.4174,-0.014965,0.053436,1.045,1
130.45,99.905,49.506,211.43,852.79,145.64,6.995,-0.039105,0.064571,0.74219,1
247.5,192.08,117.1,377.97,543.99,96.187,5.5031,-0.025314,0.052205,0.87906,1
111.65,84.956,52.509,170.86,522.18,116.18,8.1703,0.0093373,0.070045,0.91474,-1
115.67,89.966,49.12,182.3,579.01,123.09,7.2738,-0.016646,0.054089,0.89921,1
366.15,314.11,138.66,593.99,483.46,146.38,7.5783,-0.028852,0.046293,0.79911,1
122.56,144.48,19.256,225.96,348.82,113.73,5.7647,-0.0038539,0.037512,0.62983,1
123.39,79.039,65.753,181.09,776.08,102.02,4.8717,-0.024762,0.085993,0.94138,-1
402.84,217.08,233.48,572.27,163.42,74.469,7.2604,-0.021615,0.050249,0.81541,1
136.05,106.07,48.803,223.4,482.62,159.17,6.467,-0.0087053,0.054129,0.84137,1
132.43,152.1,27.267,237.76,1186.2,179.91,6.7835,0.011709,0.056416,0.92594,1
173.09,137.5,64.3,282,800.86,107.17,6.7346,0.023408,0.080666,0.78798,1
84.849,81.21,34.07,135.69,1090.1,107.34,6.6108,-0.020092,0.024435,0.86133,-1
66.432,61.172,24.688,108.23,670.81,84.56,7.761,-0.017231,0.081924,0.90696,1
431.9,316.17,187.14,676.91,1412.1,127,5.606,-0.040074,0.035414,0.96945,-1
30.657,38.026,7.3718,53.983,412.37,123.82,6.0736,0.026881,0.036517,0.53062,1
341.21,287.41,130.38,552.21,404.61,86.22,6.418,-0.017397,0.059544,0.87702,-1
38.565,38.28,14.044,63.118,460.27,94.034,8.1214,0.021055,0.024777,0.71692,1
217.02,177.3,85.097,349.07,1098.8,117.53,7.3032,0.010258,0.055221,0.94182,-1
31.677,29.557,13.151,50.228,398.67,141.48,7.2351,-0.019175,0.047913,0.67048,1
232.79,173.52,108.18,357.54,815.92,108.92,7.3396,-0.027902,0.047006,0.70635,-1
103.64,73.762,54.69,152.63,452.53,86.096,6.361,-0.029052,0.049216,0.70195,-1
116.89,160.43,31.293,202.66,771.17,139.45,7.7465,-0.044258,0.050542,0.76594,1
56.513,75.639,11.765,101.31,499.13,126.74,5.7647,0.0051483,0.063963,0.67817,1
366.11,282.12,169.22,563.23,678.04,110.08,6.2651,0.0090593,0.053708,0.97499,-1
269.37,324.56,79.634,459.41,550.28,121.7,6.6011,-0.018536,0.041535,1.0282,-1
121.7,268.42,31.607,211.91,923.35,130.99,5.8148,-0.00092219,0.051469,0.6707,1
149.8,127.53,62.22,237.52,625.56,151.73,7.7312,-0.012588,0.076134,0.67117,1
633.38,406.7,377.41,889.66,317.49,104.7,5.6386,-0.0055203,0.044017,0.94266,-1
2.1126,2.6174,0.38214,3.8454,174.14,87.868,5.5152,0.032353,0.05745,0.50843,1
119.19,127.9,35.304,203.25,919.86,118.84,6.7513,-0.00037614,0.072809,0.81337,1
422.06,520.7,107.81,736.87,1689.8,134.18,6.385,-0.00277,0.017025,0.91647,-1
389.08,351.11,166.86,611.53,387.91,120.01,7.1252,-0.0048862,0.056801,0.75182,1
462.28,437.18,165.79,759.15,1580,127.89,7.106,0.024407,0.059373,0.89627,-1
192.43,135.58,96.713,288.22,689.25,108.96,6.3177,-0.025039,0.066773,0.90682,-1
131.52,108.92,53.735,209.38,737.82,100.69,7.2622,-0.003452,0.067309,0.91749,1
254.65,226.22,91.834,417.6,883.02,104.85,6.0501,-0.0048279,0.032603,0.85652,-1
187.48,154.68,61.327,313.71,246.02,68.552,6.5582,-0.052724,0.036715,0.73802,1
6.2404,6.8676,1.2164,11.27,715.82,98.781,7.0013,-0.058777,0.032197,0.3925,1
197.34,200.22,46.328,348.57,817.42,125.19,6.4845,-0.017428,0.056808,0.89865,1
139.29,103,67.897,210.77,304.13,88.356,5.9975,0.0024532,0.047629,0.68881,-1
530.29,196.5,372.45,688.15,527.31,116.84,5.8214,0.0031049,0.018158,1.0081,-1
154.53,229.43,9.123,300.34,1434,161.68,6.7396,-0.012114,0.065841,1.048,1
83.007,63.699,38.034,128.04,742.2,114.09,7.1002,-0.0024457,0.087483,0.86782,-1
360.19,184.3,227.59,492.94,220.8,85.914,6.6182,0.0023414,0.048733,0.95866,-1
331.35,240.33,145.45,517.37,677.12,98.922,6.1927,-0.03852,0.026497,0.86463,1
346.56,270.6,158.58,534.82,1048.1,112.49,5.3689,0.0071715,0.051344,1.053,-1
5.8921,15.63,0.17719,11.621,266.13,98.47,3.7549,0.0034499,0.058927,0.42557,1
144.03,137.97,47.972,240.19,604.65,111.67,5.747,-0.0066374,0.054833,0.8431,-1
246.98,224.26,82.373,411.76,586.86,136.51,6.363,-0.0010092,0.025282,1.0214,-1
90.711,86.611,34.526,146.97,828.09,102.01,7.6244,-0.0068272,0.036081,0.93255,-1
283.32,277.45,90.558,476.41,875.03,147.46,6.8891,0.0071501,0.062955,0.87937,-1
70.391,60.125,31.866,108.97,568.57,118.89,4.9141,-0.012352,0.06022,0.7584,1
268.67,230.64,116.37,421.2,1374,148.43,6.8014,-0.0022736,0.039023,0.90099,-1
164.96,123.32,67.295,262.7,470.86,91.373,6.2828,0.010336,0.052149,0.71328,-1
133.52,116.16,47.894,219.22,890.59,134.34,6.9975,0.01047,0.031619,0.90479,1
172.97,124.39,80.003,266.02,393.65,83.986,8.3859,-0.025517,0.065794,0.7872,-1
328.73,307.65,117.54,540.17,812.1,106.73,7.0313,0.0015973,0.046166,0.92201,-1
65.458,131.5,5.8953,125.25,1347.4,191.18,6.411,0.031775,0.068425,0.61589,1
23.031,25.157,6.0082,40.075,887.57,120.7,7.5869,-0.011953,0.09588,0.73256,1
90.599,166.4,8.2438,173.19,676.69,172.61,6.4966,0.014417,0.062408,0.75514,1
350.71,318.99,133.69,567.92,567.91,107.81,6.831,0.0098007,0.032822,0.71651,1
51.948,63.514,11.826,92.133,571.61,144.42,6.0203,-0.028758,0.057719,0.81107,1
162.28,141.33,70.765,253.88,514.96,93.816,5.2115,-0.0020142,0.033189,0.77253,-1
290.51,211.37,142.06,439.11,612.82,136.72,7.388,0.00083467,0.055706,0.85955,-1
53.9,171.07,4.9547,103.02,854.23,130.23,6.9582,-0.0046844,0.11049,0.79336,1
130.83,110.38,47.41,214.36,1094,124.76,6.0376,0.030903,0.073505,0.87599,1
165.82,109.5,80.199,251.52,886.05,126.01,6.5295,0.013473,0.037478,0.87958,-1
105.78,114.43,29.144,182.53,920.92,143.7,6.4444,0.0066137,0.044432,0.74227,-1
135.46,116.44,51.966,219.11,790.1,169.7,8.3634,0.0011397,0.097197,0.79071,1
223.37,129.34,127.38,319.45,791.94,118.73,7.2387,0.005726,0.038608,0.93339,-1
211.45,175.6,76.39,346.62,540.63,162.27,6.2931,-0.050496,0.051585,0.75158,-1
500.99,419.29,265.55,736.67,812.63,103.9,7.4124,-0.0012683,0.052481,0.90885,-1
129.56,169.75,40.24,219.12,707.36,157.11,4.8296,-0.065805,0.04982,0.72426,-1
49.77,56.499,10.303,89.318,582.73,150.39,7.737,-0.00072024,0.057574,0.63543,1
119.67,109.25,40.353,199.03,345.18,80.57,6.1349,-0.069062,0.034348,0.68128,1
8.5954,11.148,1.8336,15.367,702.61,96.28,7.9887,0.013968,0.024633,0.59002,1
47.757,55.415,6.0092,89.568,685.62,149.34,7.7683,0.010146,0.028075,0.97342,-1
80.713,183.85,4.4578,157.2,2460.6,245.12,6.5295,-0.014321,0.036617,0.95099,-1
197,184.17,69.041,325.15,784.36,117.74,6.7074,-0.038667,0.046737,0.72842,1
329.96,222.65,159.44,500.61,613.18,143.8,5.5192,-0.0033359,0.065847,0.87778,-1
187.2,156.73,70.565,303.94,1429.6,114.53,5.4756,-0.03099,0.043316,0.76915,1
193.71,248.56,17.537,370.22,555.51,87.635,7.5081,-0.010589,0.059321,0.93448,-1
124.71,189.73,26.79,222.85,644.85,149.79,6.4913,0.0048313,0.030819,0.69111,1
208.4,350.65,60.754,356.27,599.66,126.89,5.798,-0.021844,0.050724,0.72209,1
104.32,87.448,43.325,165.36,434.16,142.25,6.4466,-0.015939,0.043982,0.80084,-1
228.19,138.25,115.32,341.06,444.41,123.23,7.4738,0.0306,0.088642,0.77513,1
11.276,11.832,2.9687,19.604,562.12,101.73,5.6242,0.037541,0.042152,0.51708,1
146.14,144.62,53.5,239,1314,183.68,7.0797,0.0023381,0.060506,0.92799,1
58.728,77.11,9.4327,108.11,1305.7,119.96,6.8348,-0.022838,0.045497,0.80278,1
188.4,161.23,69.557,307.48,1318.2,167.99,6.7469,-0.032438,0.058379,0.96947,1
219.12,138.86,109.22,329.07,882.34,119.09,6.8969,-0.001236,0.040463,0.93514,-1
239.56,338.24,31.191,448.53,1216.6,191.65,7.2672,0.014056,0.042694,0.88233,1
134.74,119.51,52.958,216.6,979.13,127.73,5.3079,0.010373,0.037205,0.81575,-1
134.45,115.12,52.274,216.72,556.52,95.429,7.7935,-0.012382,0.0517,0.90006,-1
172.23,233.3,27.614,317.06,350.35,90.348,4.3079,-0.021114,0.043635,0.66129,1
123.39,104.5,47.452,199.41,612.14,113.34,6.0843,0.012713,0.043446,1.0069,-1
126.01,99.876,52.634,199.45,324.81,84.219,6.3136,-0.018935,0.02021,0.84183,1
79.294,63.317,37.23,121.41,683.69,98.959,5.9676,-0.011681,0.049879,0.83543,-1
69.966,71.171,19.005,121,1310.6,123.3,6.9207,-0.033301,0.054356,0.76173,1
277.71,230.25,119.94,435.7,743.91,117.11,7.0501,-0.0030826,0.066512,0.96734,-1
94.932,100.39,34.148,155.79,525.39,93.524,6.6719,-0.0020774,0.05408,0.89104,1
173.86,123.73,85.039,262.77,422.44,77.597,6.0763,-0.021549,0.026822,0.68342,1
101.74,80.275,42.205,161.32,766.39,123.72,7.0781,-0.04231,0.058554,0.88741,1
366.88,339.41,161.09,572.96,812.8,90.265,5.813,0.019107,0.039671,0.93035,-1
212.23,181.12,80.668,343.95,984.58,119.63,5.4975,0.0090666,0.067008,1.0482,-1
269.69,243.87,106.26,433.29,389.83,99.789,6.2215,-0.032753,0.030858,0.93501,1
191.42,198.61,56.827,326.23,895.73,117.33,6.3682,0.0032069,0.081239,0.97841,-1
113.83,115.04,38.082,189.69,884.6,136.32,6.8482,0.0077318,0.0855,0.81496,1
93.599,158.96,17.58,169.81,951.16,139.92,6.894,-0.0011086,0.061611,0.88705,1
415.95,349.82,173.93,658.21,531.77,97.343,6.5945,0.0015366,0.014504,0.91591,-1
221.87,270.15,24.48,419.67,902.41,122.43,7.6798,-0.041717,0.027207,0.75968,1
32.897,61.837,3.2457,62.604,536.17,98.145,6.0075,0.0059037,0.02338,0.70998,1
7.6676,14.933,0.6289,14.721,438.25,107.25,6.5104,-0.014742,0.047283,0.48037,1
53.135,52.006,19.155,87.158,938.54,121.23,7.4632,-0.03506,0.098689,0.88963,1
105.28,176.56,7.2152,203.63,418.06,107.84,6.6476,-0.02693,0.031378,0.77107,1
106.39,100.42,36.58,176.27,609.98,103.55,6.3755,0.0031149,0.044538,0.95327,-1
185.18,121.8,92.437,278.02,613.63,115.54,6.5183,-0.019986,0.086037,0.86269,-1
280.93,237.72,109.61,452.51,924.45,157.66,7.714,-0.0052944,0.051803,0.83301,-1
99.932,113.83,30.859,169.13,1073.9,130.34,7.0353,-0.017869,0.045833,0.91331,1
191.84,155.14,87.995,295.85,749.53,119.79,6.7406,-0.022414,0.068113,0.74579,1
49.686,112.61,3.4663,96.063,710.11,125.07,7.9827,0.0028635,0.027978,0.82387,1
156.75,139.87,52.677,260.93,674.89,129.83,6.6711,-0.040142,0.077908,0.90196,-1
161.69,166.58,39.642,283.9,1416.5,120.16,6.0951,-0.031206,0.013451,0.80203,-1
275.55,196.72,128.41,422.79,601.99,129.21,7.1349,-0.038214,0.052471,0.89586,-1
604.98,324.06,349.49,860.56,367.62,82.189,5.8461,0.0034439,0.028132,1.0342,-1
202.37,253.27,51.24,353.81,661.67,119.15,5.9984,-0.018874,0.05944,0.98564,1
32.683,38.501,9.2947,56.106,1027.1,136.47,7.4382,-0.0030682,0.036234,0.78119,1
112.98,87.086,49.651,176.36,425.13,99.443,6.9593,-0.0034472,0.043602,0.77303,1
15.012,18.449,3.8356,26.21,489.03,124.48,4.4591,0.014532,0.058404,0.74677,1
59.494,60.091,19.272,99.775,767.15,138.92,6.687,-0.045555,0.026995,0.72258,1
80.369,103.17,14.923,145.93,929.74,119.23,5.9277,0.039386,0.046042,0.92279,-1
135.92,108.35,56.582,215.43,759.98,176.22,6.2832,-0.0001051,0.089174,1.0394,1
221.36,246.58,74.669,368.25,999.69,133.19,7.3172,-0.020888,0.049323,0.97661,-1
194.32,142.79,89.973,298.81,535.74,109.18,6.7328,0.0054273,0.066221,0.87571,-1
50.955,61.171,14.158,87.827,621.68,142.21,7.0376,-0.010553,0.066147,0.82693,1
181.75,195.78,56.8,306.91,955.68,112.61,6.5743,0.0047905,0.061159,0.92195,1
490.9,294.37,266.62,715.32,799.59,97.6,7.112,-0.0050052,0.046417,0.89604,-1
192.87,129.05,100.99,284.85,802.09,146.2,5.5604,0.018083,0.098344,1.0533,-1
342.82,281.42,156.63,529.41,889.74,191.11,7.5239,0.057889,0.067589,0.78296,-1
83.45,50.339,45.34,121.61,585.19,137.64,7.1779,-0.0026763,0.13878,0.97461,-1
36.09,60.784,5.9031,66.322,162.93,70.753,5.174,0.0057446,0.054292,0.51321,1
90.988,124.22,23.875,158.23,364.02,113.95,5.7943,-0.042318,0.08871,0.66496,1
362.03,196.69,205.33,518.79,634.71,100.83,6.2548,0.0026729,0.045859,0.82068,-1
179.98,180.8,55.488,304.69,590.94,142.81,6.136,-0.0097081,0.056921,0.7467,1
181.7,297.32,25.73,337.96,685.54,87.075,7.1014,-0.034251,0.04682,0.70539,1
100.9,86.75,37.009,164.84,130.69,54.138,5.0626,-0.043094,0.026972,0.6063,-1
240.84,325.73,37.265,444.95,879.03,146.7,7.4624,0.019144,0.049664,0.94537,-1
78.612,63.79,32.483,124.82,765.03,130.72,6.405,0.020849,0.078541,0.99021,-1
126.14,104.59,61.228,191.12,605.3,121.37,7.3725,-0.01325,0.028257,0.82976,1
141.09,97.277,67.123,215.16,553.91,129.7,7.2187,-0.011565,0.044625,0.43887,1
330.04,329.93,92.449,568.04,630.71,148.84,7.3506,-0.02887,0.086826,0.8602,-1
22.014,25.301,4.4204,39.649,914.15,179.26,7.476,0.017388,0.044793,0.75137,1
454.55,393.72,174.73,734.91,401.79,135.06,6.2907,0.013997,0.081698,0.85708,-1
215.89,151.5,104.84,326.98,753.88,120.02,6.9013,-0.0073541,0.016361,0.903,1
328.97,260.82,134.9,523.22,504.19,140.36,6.6852,0.0075175,0.07572,0.96856,1
247.94,220.42,85.27,410.82,1131.5,154.97,5.9692,0.010002,0.071485,0.80107,1
34.848,52.323,2.4674,67.287,332.53,116.2,7.0763,-0.02815,0.04664,0.69727,1
180.43,155.62,67.189,293.79,1127,116.58,6.7232,-0.0070368,0.040683,0.86482,-1
