@relation activation3-weka.filters.unsupervised.attribute.NumericToNominal-Rlast
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute 8 numeric
@attribute 9 numeric
@attribute 10 numeric
@attribute 11 numeric
@attribute 12 numeric
@attribute 13 numeric
@attribute 14 numeric
@attribute 15 numeric
@attribute 16 numeric
@attribute 17 numeric
@attribute 18 numeric
@attribute 19 numeric
@attribute 20 numeric
@attribute 21 numeric
@attribute 22 numeric
@attribute 23 numeric
@attribute 24 numeric
@attribute 25 numeric
@attribute 26 numeric
@attribute 27 numeric
@attribute 28 numeric
@attribute 29 numeric
@attribute 30 numeric
@attribute 31 numeric
@attribute 32 numeric
@attribute 33 numeric
@attribute 34 numeric
@attribute 35 numeric
@attribute 36 numeric
@attribute 37 numeric
@attribute 38 numeric
@attribute 39 numeric
@attribute 40 numeric
@attribute 41 numeric
@attribute 42 numeric
@attribute 43 numeric
@attribute 44 numeric
@attribute 45 numeric
@attribute 46 numeric
@attribute 47 numeric
@attribute 48 numeric
@attribute 49 numeric
@attribute 50 {1,-1}

@data
170.37,150.67,70.583,270.37,728.15,126.03,6.4624,0.0001281,0.049164,0.77482,3.1654,0.94503,1.1901,0.89734,0.8698,0.77339,0.92712,0.50772,0.57169,0.48216,0.34907,0.37086,0.21869,0.00021699,-0.00025501,-6.4398e-05,-7.4209e-06,5.0717e-06,6.2106e-06,-5.9608e-05,4.6037e-05,-0.00016136,-0.00010094,-0.00013962,-0.00011274,-0.00012776,1.3701e-05,6.0592e-05,-1.5014e-05,3.9386e-05,2.7846e-05,-5.554e-05,-5.9347e-05,8.0799e-06,-1.884e-05,2.9836e-05,1.2214e-05,-2.0278e-05,-1.7765e-05,1
221.36,246.58,74.669,368.25,999.69,133.19,7.3172,-0.020888,0.049323,0.97661,2.4489,1.1708,1.4886,0.95584,0.95483,0.74078,0.77875,0.81947,0.54469,0.4033,0.38885,0.29338,0.059821,0.0003392,4.4943e-05,-5.0735e-05,-0.00014807,0.00017664,7.9211e-05,-2.5688e-05,-0.00017475,-0.00017146,-8.659e-05,-0.00016036,-0.00010622,-8.0641e-05,5.3535e-05,-2.599e-06,9.9003e-06,3.046e-05,-5.7589e-05,2.0759e-05,-3.8459e-06,-5.7536e-07,-6.9352e-07,1.3745e-05,3.4026e-06,-3.5598e-05,-2.1993e-05,-1
237.31,228.33,93.536,381.2,362.34,93.166,7.0223,0.028911,0.031302,0.76246,2.4499,0.34595,1.1756,0.88558,0.99698,0.75414,0.79174,0.64826,0.64291,0.4793,0.42452,0.2993,0.25775,-0.00018854,-4.4363e-05,0.00025226,0.00011825,-0.00047562,-3.5946e-05,0.00021525,0.00024289,-0.00024481,-0.00019656,0.00011739,-0.00015016,-0.00028608,5.9143e-05,-0.00016919,-5.3555e-05,5.2476e-05,-3.413e-05,-5.1116e-05,4.2823e-05,1.7544e-05,-3.259e-05,3.3964e-05,-5.6338e-06,1.0648e-05,6.6143e-05,1
79.059,107.05,20.944,137.25,899.44,106.84,5.8448,0.015195,0.0252,0.78877,3.2801,1.107,1.3348,1.026,0.95248,0.82276,0.77741,0.6222,0.55975,0.47195,0.39446,0.28984,0.21958,0.00048208,0.00017803,-0.0001162,-6.3868e-05,-7.1674e-05,-9.7272e-05,-1.4764e-05,5.0085e-05,-4.9705e-05,-0.0001326,-5.9646e-05,8.7065e-05,-4.3449e-05,-3.5827e-05,-2.1702e-05,4.7456e-05,6.5282e-05,4.5283e-05,3.2149e-05,2.8921e-05,1.2217e-06,2.8003e-05,2.4835e-05,-1.0562e-05,-1.9589e-05,4.8456e-06,1
447.66,351.38,182.63,713.07,818.78,144.35,6.8471,-0.015975,0.051537,0.94969,2.8122,1.0399,1.4646,0.78032,1.039,0.83192,0.68673,0.65332,0.56397,0.45299,0.39231,0.29611,0.2787,-0.00031895,0.0001149,-0.00065219,-0.00020131,-0.00038681,-0.00022855,-0.00013516,-0.00035439,-0.00012893,0.00022068,3.1122e-05,4.0036e-05,8.8029e-05,-0.00016145,2.1573e-05,-0.00012833,9.1052e-05,-7.4573e-05,1.3848e-05,6.8588e-05,-8.3229e-05,8.5287e-05,-7.6741e-05,-4.32e-05,0.00010413,-5.4421e-05,-1
277.97,256.14,100.93,455.27,286.77,100.74,4.3678,-0.0061105,0.062768,0.91835,3.1572,0.92313,1.3299,0.97339,1.0002,0.85015,0.68374,0.63106,0.6049,0.43527,0.35812,0.33289,0.18248,-9.564e-05,7.5407e-05,4.5183e-05,3.0998e-05,-2.3386e-05,7.075e-06,-2.4278e-05,6.8293e-05,-4.131e-07,-5.8766e-05,-9.0206e-05,-5.3457e-05,-8.9386e-05,-1.2615e-06,6.5175e-07,-4.0948e-05,-1.4431e-05,-1.6281e-05,2.9826e-05,-1.798e-05,8.492e-07,2.1906e-05,2.5856e-07,-1.6732e-05,1.8181e-05,-1.2458e-05,-1
201.25,344.79,73.936,328.76,576.3,122.73,6.616,-0.03361,0.046157,0.86889,3.0112,1.1912,1.4157,0.93478,1.0162,0.81175,0.70504,0.68397,0.6063,0.50084,0.34683,0.34606,0.22079,0.0012879,-0.00057652,0.00013407,0.00035227,-0.00029699,0.0002264,-0.00013167,-0.00017355,0.00021739,-0.00023671,4.8343e-05,-4.7324e-05,-1.2273e-05,7.2059e-05,-1.7016e-05,-9.8978e-06,2.9668e-05,3.8949e-05,-1.83e-05,6.9319e-06,2.6133e-05,8.0099e-06,2.0372e-05,-6.3425e-06,1.5595e-05,2.8473e-05,1
213.14,233.73,63.391,363.13,753.73,101.69,6.5169,0.0052632,0.051777,0.90297,2.6736,0.48273,1.3215,0.67594,0.90614,0.98784,0.83663,0.57624,0.53645,0.39109,0.46609,0.37913,0.12985,-0.0012146,-0.0011525,-0.00022604,-0.00063631,-0.00052612,-0.00012157,0.00062084,0.00035645,0.00014735,-0.00035498,-0.00048769,-0.0004479,-0.00053009,4.4083e-05,-3.5134e-05,4.8761e-05,3.1845e-05,-9.0724e-05,-3.9644e-05,8.7635e-05,-9.0138e-05,2.2939e-05,-4.1266e-05,1.3799e-05,-4.2866e-05,8.5198e-05,-1
92.241,82.375,35.46,149.1,1125.1,130.56,7.1407,0.03104,0.097063,0.81576,2.9239,1.0101,1.2032,0.8688,0.93354,0.69224,0.68043,0.71034,0.56464,0.48725,0.39452,0.37178,0.20379,-0.00024068,-0.00036745,-0.00044191,-0.00030267,-0.00060736,-2.4873e-05,-0.00011799,-0.00031809,-0.00042557,-6.3869e-05,8.0842e-05,-0.00024746,0.00024537,3.7997e-05,-0.00010899,9.9989e-06,-1.4483e-05,1.1287e-05,-2.8067e-05,-5.6704e-05,-8.7642e-06,4.2127e-05,-1.2665e-05,-6.259e-05,1.9476e-05,-8.6118e-06,1
102.51,114.42,30.572,174.54,838.21,125.36,7.5468,-0.027392,0.059561,0.83301,3.0604,0.87128,1.3104,0.90351,1.0189,0.88357,0.71956,0.73525,0.54512,0.42334,0.43398,0.26597,0.17961,-8.4349e-05,2.4571e-05,-0.00026038,-2.2967e-06,7.8987e-05,9.7733e-05,-0.00026837,1.4487e-06,0.00021486,-5.4873e-05,-0.00016851,-5.2503e-05,0.00010104,0.00010827,-9.601e-05,3.0807e-06,-5.174e-05,-7.1931e-06,1.2944e-05,4.127e-05,1.7615e-05,-6.8009e-06,-2.5177e-05,3.5825e-05,1.0576e-05,-1.2157e-05,1
