@relation valence-weka.filters.unsupervised.attribute.NumericToNominal-Rlast
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute 8 numeric
@attribute 9 numeric
@attribute 10 numeric
@attribute 11 {-1,1}

@data
10171,5214.6,0.49911,0.49911,379.86,130.38,0.59522,0.024826,0.051818,0.95854,1
8307.4,6490.6,0.49896,0.49896,662.11,180.85,0.52458,-0.0034622,0.08464,0.95411,1
8394.8,7459.7,0.49937,0.49937,352.74,113.11,0.60668,-0.0031445,0.067528,0.88039,1
5558.9,3817.9,0.49934,0.49934,284.34,104.95,0.68243,0.0033919,0.058995,0.42548,1
9724.7,5210.9,0.49917,0.49917,334.21,125.39,0.57345,-0.0039349,0.041054,0.82726,1
6524.5,4986.5,0.49917,0.49917,425.09,133.98,0.55789,-0.030961,0.047344,0.8888,1
7959.4,5205.2,0.49922,0.49922,1136.2,138.66,0.57687,-0.0029183,0.017028,0.91624,1
8603,5227.6,0.49926,0.49926,1192.5,136.23,0.59846,0.024729,0.059419,0.896,1
5842.6,4925.2,0.49926,0.49926,550.72,130.52,0.6104,-0.019326,0.048972,0.83917,1
8069,4240.7,0.49937,0.49937,723.33,102.97,0.54937,0.0079925,0.042441,0.89907,1
8951.4,3747.9,0.49934,0.49934,276.08,104.61,0.57795,-0.00078578,0.069959,0.99984,1
9212,3546.5,0.49886,0.49886,352.04,158.33,0.60999,0.018193,0.098543,1.0532,1
9326.1,4012.8,0.49917,0.49917,528.74,125.66,0.57277,-0.017722,0.06192,0.92461,1
5163.8,7222.9,0.49937,0.49937,554.33,121.66,0.51921,-0.00082503,0.051433,0.66987,1
3592.1,2840.6,0.49937,0.49937,852.53,116.12,0.54828,-0.022831,0.04507,0.80351,1
8955.8,5761.9,0.49937,0.49937,365,106.26,0.51836,0.0015563,0.046128,0.92202,1
9678.5,6148.8,0.49937,0.49937,402.45,107.15,0.53348,-0.0050105,0.03371,1.1027,1
8401.1,3979.8,0.49934,0.49934,300.85,110.03,0.62356,0.021091,0.033268,0.89293,1
7916.6,7285.7,0.49937,0.49937,469.8,118.02,0.60528,0.0051969,0.064084,0.67833,1
8782.6,5824,0.4993,0.4993,338.25,114.5,0.61124,-0.012304,0.081123,0.87096,1
7142,3947,0.49886,0.49886,383.94,147.79,0.47643,-0.038519,0.042528,0.75535,1
7769.5,3364,0.49886,0.49886,675.15,169.4,0.46934,-0.035811,0.089274,0.93514,1
6398.7,5303.1,0.49926,0.49926,440.52,123.29,0.57044,-0.017667,0.040509,0.74455,-1
6704.1,5204.1,0.49911,0.49911,445.72,138.77,0.57459,-0.0096385,0.056975,0.74659,1
12816,5307.2,0.49926,0.49926,360.07,110.07,0.61118,-0.022441,0.054893,0.84238,1
9710.2,4148,0.49896,0.49896,397.32,133.82,0.57038,0.010051,0.0279,0.97293,1
4481.5,3162.4,0.49875,0.49875,1100.4,203.54,0.60669,-0.013738,0.073831,0.82754,1
7591,8856.5,0.49911,0.49911,589.1,153.95,0.6134,-0.026392,0.047872,0.8197,1
7706.8,6712.7,0.49922,0.49922,513.46,126.97,0.56596,-0.018857,0.059468,0.98556,-1
8459.9,5420.2,0.49917,0.49917,544.22,136.08,0.57541,-0.015671,0.049782,0.91186,-1
8479.9,5936.9,0.49937,0.49937,361.79,109.98,0.50802,-0.007986,0.042896,0.89577,1
5419.4,3384.3,0.49911,0.49911,767.84,135.37,0.58521,0.013505,0.037426,0.87901,-1
7303.2,3714.7,0.49917,0.49917,608.04,135,0.52543,0.0058949,0.038624,0.93347,-1
10265,5012.5,0.49917,0.49917,467.77,127.56,0.41992,-0.012042,0.065847,1.0482,-1
6054.3,3089.5,0.49896,0.49896,564.67,156.81,0.58882,-0.015764,0.077278,0.79202,-1
3861.9,1893.2,0.49886,0.49886,471.31,148.23,0.69261,-0.011587,0.044646,0.43882,1
6411.5,3817,0.49934,0.49934,420.81,107.62,0.55721,-0.02735,0.059672,0.83305,1
9206.2,4854,0.49937,0.49937,531.87,104.17,0.56313,-0.044305,0.061752,0.84276,1
17358,6697.1,0.49917,0.49917,391.11,129.67,0.61423,0.0030433,0.018146,1.008,1
10849,6331.4,0.49922,0.49922,369.56,118.44,0.55819,-0.02754,0.045163,0.97652,-1
7876.2,4124.4,0.49926,0.49926,355.5,101.27,0.58795,-0.024336,0.033747,0.9319,-1
13174,5601.9,0.49922,0.49922,313.66,111.17,0.55083,0.0022477,0.048837,0.959,-1
7060.7,4255.2,0.49917,0.49917,520.5,134.03,0.55097,0.017891,0.053535,0.88667,-1
7116.3,5436.5,0.49926,0.49926,424.81,132.68,0.52992,0.0061259,0.046362,0.88028,-1
12440,4799.1,0.49934,0.49934,437.21,101.16,0.48452,-0.026921,0.033495,1.0176,-1
6405.2,4502.3,0.49937,0.49937,280.74,104.73,0.60527,-0.0036882,0.037519,0.62928,1
5331.5,3309,0.49937,0.49937,577.18,117.28,0.52947,0.004495,0.040655,0.81664,1
8331.6,5445.5,0.49937,0.49937,366.75,88.394,0.67184,-0.038311,0.026157,0.63169,1
12921,5465.2,0.49896,0.49896,427.04,146.49,0.62938,-0.013374,0.088105,1.0184,1
9770.4,3273.1,0.49896,0.49896,339.43,107.64,0.69711,0.037653,0.042965,0.51683,-1
7238.8,4173.4,0.49917,0.49917,296.81,121.59,0.64654,0.014554,0.05831,0.74704,-1
6994.2,3240.3,0.49937,0.49937,325.05,96.893,0.67099,-0.0021634,0.033211,0.77213,-1
10463,6871.6,0.49926,0.49926,445.46,120.61,0.61209,-0.02571,0.0655,0.84666,-1
9090.5,8563.4,0.49917,0.49917,386.78,134.92,0.59153,-0.028844,0.086535,0.85989,1
6273.6,5849.2,0.49904,0.49904,448.38,148.33,0.51912,-0.0026184,0.052107,0.87548,-1
6502.8,5602.6,0.49886,0.49886,499.76,170.63,0.52235,-0.0086811,0.054093,0.84153,1
12116,4878.3,0.49904,0.49904,328.73,128.16,0.60036,0.002575,0.051878,0.87435,1
12458,4660,0.49904,0.49904,342.81,135.86,0.58596,-0.020443,0.085614,0.85133,-1
4864.8,4093.1,0.49937,0.49937,493.6,111.74,0.59395,0.015058,0.025147,0.78958,1
4501.5,3790.2,0.49934,0.49934,488.56,127.54,0.5723,0.006498,0.026717,0.78956,1
8442,6004.8,0.4993,0.4993,564.13,125.79,0.58274,-0.006721,0.040696,0.86449,-1
11984,4552.5,0.49896,0.49896,425.48,132.45,0.71461,0.013534,0.080914,0.7541,1
4529.3,3427,0.49917,0.49917,597.07,149.93,0.50663,-0.020491,0.027739,0.80816,-1
6615.9,4535.2,0.49922,0.49922,395.35,124.34,0.59013,-0.045548,0.026911,0.72295,-1
4500.8,3720.1,0.49904,0.49904,377.01,144.64,0.51185,0.0046097,0.03082,0.69106,-1
7480.1,4100.4,0.4993,0.4993,411.63,108.34,0.45534,-0.0030404,0.061479,0.85399,1
8431.2,5588.2,0.49934,0.49934,344.95,120.37,0.51594,-0.0029304,0.042515,0.95337,1
10340,4866.5,0.49917,0.49917,382.3,128.89,0.59236,-0.029686,0.038415,0.89835,1
9284.9,4714.5,0.4993,0.4993,493.78,117.74,0.53148,-0.012648,0.033843,0.93598,-1
7195.4,3999.3,0.49937,0.49937,266.29,101.8,0.57902,-0.0064154,0.040622,0.85659,1
7286.8,3536.9,0.49917,0.49917,549.53,120.02,0.55792,0.002077,0.064058,0.91772,1
6163,4843.6,0.49934,0.49934,621.48,116.86,0.54668,-0.006587,0.0548,0.84257,1
5427.2,4271.6,0.49934,0.49934,668.81,128.63,0.4962,-0.00097981,0.040534,0.98927,-1
12079,19374,0.49926,0.49926,412.69,112.34,0.59236,-0.050898,0.051572,0.75149,1
9119.4,3999.9,0.49926,0.49926,503.73,109.98,0.58199,-0.015664,0.059282,0.83031,-1
6983.7,5479.3,0.49904,0.49904,574.32,142,0.5185,0.0031579,0.027997,0.82405,1
3653.8,3030.4,0.49904,0.49904,617.04,149.92,0.50609,0.0099113,0.025785,0.79837,1
5688.3,3682.3,0.49934,0.49934,544.86,101.71,0.51378,0.02299,0.035213,0.79139,1
11345,6966.5,0.49904,0.49904,534.29,145.24,0.644,-0.038129,0.052525,0.89549,1
4331.2,3894.7,0.49911,0.49911,346.9,113.46,0.50246,-0.02729,0.031682,0.76874,1
5363.8,3409.7,0.49904,0.49904,401.18,124.69,0.50258,-0.024859,0.022183,0.76209,1
7747.2,3541.5,0.49896,0.49896,372.84,134.44,0.59317,-0.018223,0.051056,0.79077,1
6629.3,2697.5,0.49937,0.49937,203.87,73.694,0.61856,-0.042988,0.026591,0.60624,-1
8369.7,4569.1,0.4993,0.4993,326.14,124.37,0.55751,-0.00085779,0.025303,1.021,1
6295.5,4229.6,0.49904,0.49904,488.68,151.3,0.57887,0.0079391,0.0496,0.92689,-1
11307,5829.1,0.49911,0.49911,281.58,125.66,0.61579,-0.018506,0.041505,1.0279,1
8343.7,4597.3,0.49937,0.49937,373.35,97.058,0.6263,0.0052185,0.052115,0.90315,-1
4452.6,3727,0.49934,0.49934,438.35,114.36,0.51368,-0.0064352,0.052082,0.60137,1
3468.6,2679.3,0.49937,0.49937,479.6,118.37,0.54742,-0.0096482,0.055114,0.65688,1
10779,4289.5,0.49875,0.49875,380.83,159.78,0.64776,0.013407,0.050666,0.89785,-1
10444,5202,0.49934,0.49934,283.91,107.99,0.60089,-0.0094752,0.062367,0.89616,-1
4814.1,3281.1,0.49934,0.49934,431.71,99.777,0.62475,-0.0020175,0.053957,0.89082,-1
7061.9,4192.6,0.49917,0.49917,390.22,124.17,0.57631,-0.022728,0.055522,0.85732,1
8085.9,6956.9,0.4993,0.4993,399.74,113.33,0.66376,0.029015,0.031334,0.7615,1
9252.8,5111.3,0.49886,0.49886,455.75,158.53,0.68255,0.030408,0.088696,0.77515,-1
10414,4415.1,0.49937,0.49937,307.57,100.63,0.50889,0.0031165,0.071089,0.83234,1
12769,6686.1,0.49926,0.49926,357.27,122.2,0.54799,0.0031145,0.080423,0.97811,1
12944,6404.7,0.49922,0.49922,427.53,121.72,0.55458,-0.037971,0.035248,1.0095,1
8715.1,6604.4,0.49926,0.49926,315.32,119.57,0.62805,-0.037198,0.0586,0.77364,-1
7626,4029.3,0.4993,0.4993,362.74,104.59,0.63835,-0.023755,0.050476,0.85187,-1
9680.4,4315.5,0.49917,0.49917,330.55,119.79,0.57242,-0.0057552,0.05798,0.92835,1
6313.5,4578.1,0.49922,0.49922,829.72,130.65,0.68121,0.035217,0.039517,0.78529,1
6288.1,3834.7,0.49937,0.49937,755.37,129.35,0.55299,0.010233,0.037299,0.81565,1
6963.5,3972.9,0.49937,0.49937,601.59,126.5,0.56886,0.010663,0.031582,0.90425,1
10045,5671.2,0.49904,0.49904,366.12,137.47,0.60999,0.029539,0.057871,0.96495,1
9551.5,5744.5,0.49926,0.49926,307.77,113.48,0.5342,-0.0071291,0.036646,0.93264,1
10249,4544.9,0.49922,0.49922,287.42,105.18,0.6548,-0.010111,0.046886,0.73171,-1
